Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Yield (bu/ac),N18-1751 - Checks,-3.4607249999985856,2.842311144559839,57.00000000000105,-1.217574299218573,0.9878200755676707
Jay Test 1,Yield (bu/ac),N18-1763 - Checks,-5.605188749998594,2.8423111445598384,57.00000000000105,-1.9720531866213458,0.607047018336778
Jay Test 1,Yield (bu/ac),N18-1855 - Checks,-1.8839437499985936,2.842311144559838,57.00000000000105,-0.6628210826265266,0.9999946101679101
Jay Test 1,Yield (bu/ac),N18-1956 - Checks,-10.257393749998592,2.8423111445598384,57.00000000000105,-3.608821563969576,0.010982118036014787
Jay Test 1,Seeed Weight (grams),LMN09-119 - Checks,2.4583333333328117,0.4766552153208388,56.99999999999856,5.157466559299254,5.5750640062801615e-5
Jay Test 1,Seeed Weight (grams),N09-09 - Checks,0.5416666666661294,0.4766552153208388,56.99999999999835,1.136390936793865,0.9940916279946792
Jay Test 1,Seeed Weight (grams),N18-1572 - Checks,1.6833333333328009,0.47665521532083865,56.99999999999835,3.5315533728079362,0.013950499819870843
Jay Test 1,Seeed Weight (grams),N18-1595 - Checks,0.8083333333328087,0.47665521532083865,56.99999999999793,1.6958449364468111,0.8180316661463247
Jay Test 1,Seeed Weight (grams),N18-1604 - Checks,1.0166666666661444,0.47665521532083865,56.99999999999814,2.1329183736756594,0.4755216993196607
Jay Test 1,Seeed Weight (grams),N18-1620 - Checks,0.5333333333327872,0.47665521532083877,56.99999999999835,1.1189079993046926,0.9950114628454522
Jay Test 1,Seeed Weight (grams),N18-1632-1 - Checks,0.7166666666661381,0.47665521532083865,56.99999999999835,1.5035326240661118,0.920252526888369
Jay Test 1,Seeed Weight (grams),N18-1632-2 - Checks,0.7333333333328017,0.4766552153208388,56.99999999999856,1.5384984990444124,0.9052873536121632
Jay Test 1,Seeed Weight (grams),N18-1635 - Checks,0.3499999999994672,0.47665521532083865,56.99999999999793,0.7342833745433388,0.9999764950635671
Jay Test 1,Seeed Weight (grams),N18-1641 - Checks,0.38333333333280484,0.47665521532083854,56.99999999999793,0.804215124499963,0.9999169566812554
Jay Test 1,Seeed Weight (grams),N18-1674 - Checks,0.5249999999994657,0.4766552153208387,56.999999999997726,1.1014250618155639,0.9958094394874397
Jay Test 1,Seeed Weight (grams),N18-1682 - Checks,0.44166666666613774,0.47665521532083877,56.99999999999835,0.9265956869240378,0.9994659311928479
Jay Test 1,Seeed Weight (grams),N18-1731 - Checks,2.6416666666661315,0.4766552153208388,56.99999999999835,5.542091184060608,1.3567934332714415e-5
Jay Test 1,Seeed Weight (grams),N18-1751 - Checks,1.0999999999994727,0.47665521532083877,56.99999999999814,2.3077477485671856,0.3459438997540124
Jay Test 1,Seeed Weight (grams),N18-1763 - Checks,0.22499999999945944,0.4766552153208387,56.99999999999814,0.4720393122060166,0.9999999695394854
Jay Test 1,Seeed Weight (grams),N18-1855 - Checks,2.566666666666145,0.47665521532083877,56.99999999999835,5.384744746658253,2.426800583388289e-5
Jay Test 1,Seeed Weight (grams),N18-1956 - Checks,0.8333333333328037,0.47665521532083865,56.99999999999835,1.7482937489142618,0.7823686533307288
Jay Test 1,Seed Quality,LMN09-119 - Checks,0.25318793775345877,0.2149534580038461,56.684451009681176,1.1778732945479227,0.9913477474623151
Jay Test 1,Seed Quality,N09-09 - Checks,-0.16586660272317563,0.2149534580038461,56.68445100968138,-0.7716396110278338,0.9999529596135548
Jay Test 1,Seed Quality,N18-1572 - Checks,0.1933612611279668,0.21495345800384613,56.68445100968138,0.8995494323450569,0.9996340975277126
Jay Test 1,Seed Quality,N18-1595 - Checks,-0.03948441911184222,0.21495345800384613,56.68445100968159,-0.18368822478369123,0.9999999999999944
Jay Test 1,Seed Quality,N18-1604 - Checks,-0.022495932934071452,0.21495345800384613,56.68445100968159,-0.10465490131202697,1
Jay Test 1,Seed Quality,N18-1620 - Checks,0.226872087575092,0.2149534580038461,56.68445100968138,1.055447489339914,0.9974183581268218
Jay Test 1,Seed Quality,N18-1632-1 - Checks,0.0890301522313269,0.21495345800384616,56.68445100968159,0.41418339140993904,0.9999999961932261
Jay Test 1,Seed Quality,N18-1632-2 - Checks,0.3553866589182611,0.2149534580038461,56.68445100968138,1.653319105533544,0.8447863178782483
Jay Test 1,Seed Quality,N18-1635 - Checks,-0.0818564636511526,0.2149534580038461,56.68445100968159,-0.3808101735664469,0.9999999990164675
Jay Test 1,Seed Quality,N18-1641 - Checks,0.07037542423013309,0.21495345800384613,56.68445100968159,0.3273984279372415,0.9999999999161416
